player_id,player_name,position,mean,std,p10,p25,p50,p75,p90,risk_adjusted_0.5,risk_adjusted_1.0,p_positive,realized_career_vorp,anchor_season,inside_50,inside_80
00-0029159,J.Kearse,WR,100.46343729904137,123.20607632718661,0.0,0.0,24.413787575039414,217.90812818627512,300.1978802616338,-37.18925058855389,-98.79228875214719,0.549,0.0,2017,true,true
00-0029205,T.Cadet,RB,17.285719182051697,45.8395288325581,0.0,0.0,0.0,0.0,66.65374497311437,-22.91976441627905,-45.8395288325581,0.208,0.0,2017,true,true
00-0029239,B.Bolden,RB,0.033892361213584694,0.4148345388951661,0.0,0.0,0.0,0.0,0.0,-0.20741726944758304,-0.4148345388951661,0.013,0.0,2017,true,true
00-0029263,R.Wilson,QB,659.7146609063736,186.19487298198317,373.2127760106464,570.5996802803726,706.7424604125821,785.7240639944766,859.33152189343,613.6450239215906,520.5475874305989,1.0,358.21897558908853,2017,false,false
00-0029269,T.Benjamin,WR,39.379462766441165,72.6794551111488,0.0,0.0,0.0,35.80538031239452,168.22467139468932,-36.3397275555744,-72.6794551111488,0.457,0.0,2017,true,true
00-0029273,R.Turbin,RB,5.079942603828064,15.615860756523114,0.0,0.0,0.0,0.0,17.69185850140533,-7.807930378261557,-15.615860756523114,0.157,0.0,2017,true,true
00-0029293,M.Jones,WR,206.7774931085444,190.77083305373816,0.0,0.0,231.09746733324408,400.5408978887927,445.09986260297916,135.712050806375,40.326634279505924,0.628,133.22908365822022,2017,true,true
00-0029319,J.Bellamy,WR,32.58800628357523,80.59664661039768,0.0,0.0,0.0,0.0,148.0562474271091,-40.29832330519884,-80.59664661039768,0.208,0.0,2017,true,true
00-0029336,B.Golden,WR,0.02358521147941979,0.2997062984485433,0.0,0.0,0.0,0.0,0.0,-0.14985314922427165,-0.2997062984485433,0.01,0.0,2017,true,true
00-0029384,B.Rainey,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,true,true
00-0029388,D.Thompson,WR,23.776153450962845,51.161906165101854,0.0,0.0,0.0,2.496709878338458,108.13755703876912,-25.580953082550927,-51.161906165101854,0.262,0.0,2017,true,true
